path,tip,status,indexability,indexability_status,word_count,sentence_count,avg_words_sentence,flesch,text_ratio,size_bytes,crawl_depth,folder_depth,inlinks,unique_inlinks,outlinks,unique_outlinks,external_outlinks,title_len,title_px,metadesc_len,metadesc_px,h1_len,canonical_self,meta_robots,response_time,gsc_clicuri_3luni,gsc_expuneri_3luni
/servicii/cazier-judiciar-online/bucuresti/,locatie-cazier,200,Non-Indexable,noindex,1395,204,6.838,31.725,3.683,322726,2,3,49,49,142,103,5,75,664,166,982,61,da,"noindex, follow",0.126,0,0
/servicii/cazier-judiciar-online/buzau/,locatie-cazier,200,Non-Indexable,noindex,1412,232,6.086,38.228,3.578,332330,2,3,49,49,142,103,7,67,606,158,944,57,da,"noindex, follow",0.387,0,0
/servicii/cazier-judiciar-online/calarasi/,locatie-cazier,200,Non-Indexable,noindex,1400,237,5.907,38.286,3.584,332735,2,3,49,49,142,103,7,73,642,164,966,60,da,"noindex, follow",0.427,0,0
/servicii/cazier-judiciar-online/cluj-napoca/,locatie-cazier,200,Indexable,,1416,209,6.775,35.0,3.625,329758,2,3,49,49,142,103,7,72,638,163,963,63,da,"index, follow",0.102,11,755
/servicii/cazier-judiciar-online/constanta/,locatie-cazier,200,Indexable,,1432,239,5.992,37.225,3.63,333883,2,3,49,49,142,103,7,75,680,166,996,61,da,"index, follow",0.061,6,778
/servicii/cazier-judiciar-online/craiova/,locatie-cazier,200,Non-Indexable,noindex,1419,231,6.143,38.077,3.607,331142,2,3,49,49,142,103,7,68,598,159,935,59,da,"noindex, follow",0.486,0,0
/servicii/cazier-judiciar-online/deva/,locatie-cazier,200,Non-Indexable,noindex,1405,233,6.03,35.91,3.57,332373,2,3,49,49,142,103,7,70,639,161,965,56,da,"noindex, follow",0.377,0,0
/servicii/cazier-judiciar-online/drobeta-turnu-severin/,locatie-cazier,200,Non-Indexable,noindex,1439,240,5.996,32.314,3.684,333908,2,3,49,49,142,103,7,87,786,178,1064,73,da,"noindex, follow",0.37,0,0
/servicii/cazier-judiciar-online/focsani/,locatie-cazier,200,Indexable,,1388,227,6.115,34.781,3.568,331008,2,3,49,49,142,103,7,71,639,162,965,59,da,"index, follow",0.04,10,672
/servicii/cazier-judiciar-online/galati/,locatie-cazier,200,Non-Indexable,noindex,1412,225,6.276,35.1,3.579,332925,2,3,49,49,142,103,7,69,602,160,938,58,da,"noindex, follow",0.412,0,0
